Registrant Name,Sector,Amount
350 Vermont,Environment,6329.73
3M Company,Manufacturing,93916
AAA,Insurance,4094
Aaron's Inc.,Retail,43523
AARP,Elderly,739025.25
Abbott,Pharmaceuticals,87310.9
Abilis,Health Care,0
Acadia Insurance,Insurance,18219
Acelleron Medical Products,Health Care,22500
Adapt Pharma,Pharmaceuticals,38.15
AFLAC,Insurance,11060
AFT Vermont,Labor Unions,398591.46
"Air Transport Association of America, Inc.",Transportation,2350
"AIV Insurance Services, Inc.",Insurance,0
AllEarth Renewables,Environment,49695.62
"Allergan, Inc.",Pharmaceuticals,6051.5
Alliance of Automobile Manufacturers,Transportation,233549.09
Alliance of Health Care Sharing Ministries,Health Care,9200
Altria Client Services Inc.,Tobacco,1091008.67
America's Health Insurance Plans,Insurance,372513.29
America's Natural Gas Alliance,Energy,22147.54
America's Promise - The Alliance for Youth,Children & Youth,6150
American Assn. of Preferred Provider Org,Health Care,0
American Beverage Association,Business,1740647.23
American Cancer Society,Health Care,286445.2
American Chemistry Council,Pharmaceuticals,198728.89
American Civil Liberties Union of Vermont,Civil/Criminal Justice,102047.78
American Council for an Energy Efficient Economy,Energy,106818.89
American Council of Life Insurers,Insurance,139999.6
American Express,Bank/Finance,125630.9
American Family Life Assurance Company,Insurance,22000
American Financial Service Association,Bank/Finance,0
American Forest & Paper Association,Environment,83798.16
American Heart Association,Health Care,251064.54
American Insurance Association,Insurance,269637.42
"American International Group, Inc.",Insurance,230709.99
American Isurance Association,Insurance,610
American Lung Association,Health Care,41876.21
American Petroleum Association,Energy,66488.5
American Petroleum Institute,Energy,267906
American Red Cross - Vermont & the New Hampshire Upper Valley,Health Care,4148
American Resort Development Association,Real Estate,96075
American Silencer Association,Gun,346
American Society for the Prevention of Cruelty to Animals,Environment,11975.72
American Suppressor Association,Gun,9605.34
American Tort Reform Association,Civil/Criminal Justice,1680
Amgen,Pharmaceuticals,12461.42
AMTA-VT,Health Care,54249.3
ANA-Vermont,Health Care,3996.56
Anheuser-Busch Companies,Alcohol,436189.56
Apetrop USA Inc.,Insurance,19220
Apple Inc.,Business,158383.8
Aprexis Health Solutions,Health Care,6750
APS Healthcare,Health Care,70600
APS Healthcare ( innovatiave Resource Group LLC),Health Care,19800
"ArcLight Capital Partners, LLC",Bank/Finance,18000
Associated Industries of Vermont,Manufacturing,365967.43
Association for Accessible Medicines,Health Care,47135.1
Association of Equipment Manufactures,Manufacturing,18000
Association of Home Appliance Manufacturers,Energy,3560
Association of Perioperative Registered Nurses,Health Care,50512.92
Association of Vermont Credit Unions,Bank/Finance,564473.92
Association of Vermont Independent Colleges,Education,53999
AstraZeneca Pharmaceuticals,Pharmaceuticals,52612.2
"Asurion, LLC",Insurance,109538
AT&T,Telecommunications,633688.13
Audubon Vermont,Environment,40103.07
Bank of America,Bank/Finance,93138.8
"Barton Village, Inc Electric Department",Energy,6693.42
BAYADA Home Health Care,Health Care,136229.6
Bayer Corporation,Pharmaceuticals,40681.82
"Beacon Information Designs, LLC",Marijuana,9610
Beaver Wood Energy,Energy,48750.75
"Ben & Jerry's Homemade, Inc.",Business,6832.7
"Best Bingo Supplies, Inc.",Gaming,40397
Beverage Association of Vermont,Non-alcoholic beverages,700425.94
Bi-State Primary Care Association,Health Care,503984.27
Biotechnology Industry Organization,Pharmaceuticals,123382
Biotechnology Innovation Organization,Pharmaceuticals,215395.56
Blue Cross and Blue Shield of Vermont,Health Care,557426.47
"Boehringer Ingelheim Pharmaceuticals, Inc.",Pharmaceuticals,28398.41
"Bradford Healthcare Company, LLC",Health Care,7800
Brain Injury Association of Vermont,Health Care,6000
Brattleboro Development Credit Corporation,Bank/Finance,5000
Brattleboro Retreat,Bank/Finance,268503.25
Brennan Center for Justice,Civil/Criminal Justice,1644
Bristol-Myers Squibb,Pharmaceuticals,38038
Brookhaven Treatment and Learning Center,Health Care,494
Bullrock Deutsche Eco Solar,Energy,26516.9
Burlington Electric Department,Energy,91635.51
Burlington Housing Authority,Housing,14717.25
"Burlington Laboratories, Inc",Pharmaceuticals,3750
Burr and Burton Academy,Education,162000
Burton Snowboards,Ski Industry,7875
Campaign for the Fair Sentencing of Youth,Civil/Criminal Justice,90065
Campaign for Vermont Prosperity,Government/Public Affairs,332830.63
Capital Connections LLC,Bank/Finance,0
Casella Waste Management,Environment,434176.24
Caterpillar,Manufacturing,63000
Cedar Hill Continuing Care Community,Health Care,3156.71
Central Valley Area Agency on Aging (CVAA),Elderly,16040
Central Vermont Chamber of Commerce,Business,29755.18
Central Vermont Council on Aging,Elderly,54432.1
Central Vermont Medical Center,Health Care,16541.97
"Century International Arms, Inc.",Gun,20567.69
CenturyLink,Telecommunications,11960
Champlain Housing Trust,Housing,74661.7
"Champlain Valley Area Agency on Aging, Inc",Elderly,100
"Champlain VT, LLC",Environment,64333.17
Charter Communications,Telecommunications,1200
Chittenden Solid Waste District,Environment,11995.52
Christian Science Committee on Publication,Media/Journalism,29500
"Cigar Association of America, Inc.",Tobacco,12000
Cigna,Health Care,261000
"Cisco Systems, Inc.",Telecommunications,31470
Citigroup Management Corp,Bank/Finance,10864.12
Citizens for Responsible Composting,Environment,0
