bill,year,date_intro,title,act,sector
H.1,2011,1/6/11,An act relating to challenges for change outcomes for persons with disabilities,2,Accessibility
H.2,2011,1/6/11,An act relating to a ban on discretionary clauses in health insurance contracts,,
H.4,2011,1/6/11,An act relating to mental health hospital admissions,,
H.3,2011,1/6/11,An act relating to prohibiting use of Tasers by law enforcement officers who have not completed training for interacting with people experiencing a mental health crisis,,
S.2,2011,1/7/11,An act relating to sexual exploitation of a minor and the sex offender registry,31,Civil & Criminal Justice
H.6,2011,1/7/11,An act relating to powers and immunities of the liquor control investigators,17,Alcohol
S.1,2011,1/7/11,An act relating to technical amendments to the judicial restructuring act of 2010,1,Civil & Criminal Justice
H.7,2011,1/7/11,An act relating to appointments to the mental health oversight committee,,
S.6,2011,1/7/11,An act relating to caffeinated and stimulant-enhanced malt beverages,,
S.3,2011,1/7/11,An act relating to establishing that traffic tickets and video recordings of roadside DUI stops are public records,,
S.4,2011,1/7/11,An act relating to expanding the review power of the secretary of human services,,
S.5,2011,1/7/11,An act relating to prescription drug co-payments,,
S.8,2011,1/7/11,An act relating to providing that commercial composting on farms is an accepted agricultural practice,,
H.5,2011,1/7/11,An act relating to returning moneys to the clean energy development fund to support solar tax credits,,
S.7,2011,1/7/11,An act relating to the Uniform Limited Cooperative Association Act,,
H.8,2011,1/11/11,An act relating to approval of amendments to and codification of the charter of the town of Jamaica,M-2,Government & Public Affairs
H.21,2011,1/11/11,An act relating to the mutual benefit enterprise act,84,?
H.26,2011,1/11/11,An act relating to the application of phosphorus fertilizer to nonagricultural turf,37,Environment
H.24,2011,1/11/11,An act relating to the maintenance and conveyance of Maidstone Lake Road,28,?
H.11,2011,1/11/11,An act relating to the discharge of pharmaceutical waste to state waters,27,Environment
H.18,2011,1/11/11,An act relating to antique motor vehicle registration plates,,
H.23,2011,1/11/11,An act relating to benefits for survivors of emergency personnel,,
H.13,2011,1/11/11,An act relating to deer doing damage to forest resources,,
H.22,2011,1/11/11,An act relating to expungement of misdemeanor criminal conviction records,,
H.16,2011,1/11/11,An act relating to harassment and disturbing the peace through false and defamatory Internet website postings,,
H.14,2011,1/11/11,An act relating to hunting and fishing licenses for disabled Vermont veterans,,
H.9,2011,1/11/11,An act relating to providing that commercial composting on farms is an accepted agricultural practice,,
H.20,2011,1/11/11,An act relating to providing that the public trust doctrine as applied to rivers and streams extends to the 10-year high-water mark,,
H.12,2011,1/11/11,An act relating to requiring the secretary of state to send a certified copy of a municipal act to the clerk of the municipality,,
